연도,출생아수
1970.0,1006645.0
1971.0,1024773.0
1972.0,952780.0
1973.0,965521.0
1974.0,922823.0
1975.0,874030.0
1976.0,796331.0
1977.0,825339.0
1978.0,750728.0
1979.0,862669.0
1980.0,862835.0
1981.0,867409.0
1982.0,848312.0
1983.0,769155.0
1984.0,674793.0
1985.0,655489.0
1986.0,636019.0
1987.0,623831.0
1988.0,633092.0
1989.0,639431.0
1990.0,649738.0
1991.0,709275.0
1992.0,730678.0
1993.0,715826.0
1994.0,721185.0
1995.0,715020.0
1996.0,691226.0
1997.0,675394.0
1998.0,641594.0
1999.0,620668.0
2000.0,640089.0
2001.0,559934.0
2002.0,496911.0
2003.0,495036.0
2004.0,476958.0
2005.0,438707.0
2006.0,451759.0
2007.0,496822.0
2008.0,465892.0
2009.0,444849.0
2010.0,470171.0
2011.0,471265.0
2012.0,484550.0
2013.0,436455.0
2014.0,435435.0
2015.0,438420.0
2016.0,406243.0
2017.0,357771.0
2018.0,326822.0
2019.0,302676.0
2020.0,272337.0
2021.0,260562.0
2022.0,249186.0
2023.0,230028.0
2024.0,238317.0
